"name","economy","cylinders","displacement","power","weight","acceleration","year","economy_20mpg"
"Buick Century Special",20.6,6,231.0,105,3380,15.8,78,1
"Buick Century",17.0,6,231.0,110,3907,21.0,75,0
"Buick Century",22.400000000000002,6,231.0,110,3415,15.8,81,1
"Buick Electra 225 Custom",12.0,8,455.0,225,4951,11.0,73,0
"Buick Estate Wagon (Wagon)",14.0,8,455.0,225,3086,10.0,70,0
"Buick Estate Wagon (Wagon)",16.900000000000002,8,350.0,155,4360,14.9,79,0
"Buick Lesabre Custom",13.0,8,350.0,155,4502,13.5,72,0
"Buick Opel Isuzu Deluxe",30.0,4,111.0,80,2155,14.8,77,1
"Buick Regal Sport Coupe (Turbo)",17.7,6,231.0,165,3445,13.4,78,0
"Buick Skyhawk",21.0,6,231.0,110,3039,15.0,75,1
"Buick Skylark 320",15.0,8,350.0,165,3693,11.5,70,0
"Buick Skylark Limited",28.400000000000002,4,151.0,90,2670,16.0,79,1
"Buick Skylark",20.5,6,231.0,105,3425,16.900000000000002,77,1
"Buick Skylark",26.6,4,151.0,84,2635,16.400000000000002,81,1
"Cadillac Eldorado",23.0,8,350.0,125,3900,17.400000000000002,79,1
"Cadillac Seville",16.5,8,350.0,180,4380,12.100000000000001,76,0
"Chevroelt Chevelle Malibu",16.0,6,250.0,105,3897,18.5,75,0
"Chevrolet Bel Air",15.0,8,350.0,145,4440,14.0,75,0
"Chevrolet Camaro",27.0,4,151.0,90,2950,17.3,82,1
"Chevrolet Caprice Classic",13.0,8,400.0,150,4464,12.0,73,0
"Chevrolet Caprice Classic",17.0,8,305.0,130,3840,15.4,79,0
"Chevrolet Caprice Classic",17.5,8,305.0,145,3880,12.5,77,0
"Chevrolet Cavalier 2-Door",34.0,4,112.0,88,2395,18.0,82,1
"Chevrolet Cavalier Wagon",27.0,4,112.0,88,2640,18.6,82,1
"Chevrolet Cavalier",28.0,4,112.0,88,2605,19.6,82,1
"Chevrolet Chevelle Concours (Wagon)",,8,350.0,165,4142,11.5,70,
"Chevrolet Chevelle Concours (Wagon)",13.0,8,307.0,130,4098,14.0,72,0
"Chevrolet Chevelle Malibu Classic",16.0,6,250.0,100,3781,17.0,74,0
"Chevrolet Chevelle Malibu Classic",17.5,8,305.0,140,4215,13.0,76,0
"Chevrolet Chevelle Malibu",17.0,6,250.0,100,3329,15.5,71,0
"Chevrolet Chevelle Malibu",18.0,8,307.0,130,3504,12.0,70,0
"Chevrolet Chevette",29.0,4,85.0,52,2035,22.200000000000003,76,1
"Chevrolet Chevette",30.0,4,98.0,68,2155,16.5,78,1
"Chevrolet Chevette",30.5,4,98.0,63,2051,17.0,77,1
"Chevrolet Chevette",32.1,4,98.0,70,2120,15.5,80,1
"Chevrolet Citation",23.5,6,173.0,110,2725,12.600000000000001,81,1
"Chevrolet Citation",28.0,4,151.0,90,2678,16.5,80,1
"Chevrolet Citation",28.8,6,173.0,115,2595,11.3,79,1
"Chevrolet Concours",17.5,6,250.0,110,3520,16.400000000000002,77,0
"Chevrolet Impala",11.0,8,400.0,150,4997,14.0,73,0
"Chevrolet Impala",13.0,8,350.0,165,4274,12.0,72,0
"Chevrolet Impala",14.0,8,350.0,165,4209,12.0,71,0
"Chevrolet Impala",14.0,8,454.0,220,4354,9.0,70,0
"Chevrolet Malibu Classic (Wagon)",19.200000000000003,8,267.0,125,3605,15.0,79,0
"Chevrolet Malibu",13.0,8,350.0,145,3988,13.0,73,0
"Chevrolet Malibu",20.5,6,200.0,95,3155,18.2,78,1
"Chevrolet Monte Carlo Landau",15.5,8,350.0,170,4165,11.4,77,0
"Chevrolet Monte Carlo Landau",19.200000000000003,8,305.0,145,3425,13.200000000000001,78,0
"Chevrolet Monte Carlo S",15.0,8,350.0,145,4082,13.0,73,0
"Chevrolet Monte Carlo",15.0,8,400.0,150,3761,9.5,70,0
"Chevrolet Monza 2+2",20.0,8,262.0,110,3221,13.5,75,0
"Chevrolet Nova Custom",16.0,6,250.0,100,3278,18.0,73,0
"Chevrolet Nova",15.0,6,250.0,100,3336,17.0,74,0
"Chevrolet Nova",18.0,6,250.0,105,3459,16.0,75,0
"Chevrolet Nova",22.0,6,250.0,105,3353,14.5,76,1
"Chevrolet Vega (Wagon)",22.0,4,140.0,72,2408,19.0,71,1
"Chevrolet Vega 2300",28.0,4,140.0,90,2264,15.5,71,1
"Chevrolet Vega",20.0,4,140.0,90,2408,19.5,72,0
"Chevrolet Vega",21.0,4,140.0,72,2401,19.5,73,1
"Chevrolet Vega",25.0,4,140.0,75,2542,17.0,74,1
"Chevrolet Woody",24.5,4,98.0,60,2164,22.1,76,1
"Chevy C10",13.0,8,350.0,145,4055,12.0,76,0
"Chevy C20",10.0,8,307.0,200,4376,15.0,70,0
"Chevy S-10",31.0,4,119.0,82,2720,19.400000000000002,82,1
"Chrysler Cordoba",15.5,8,400.0,190,4325,12.200000000000001,77,0
"Chrysler Lebaron Medallion",26.0,4,156.0,92,2585,14.5,82,1
"Chrysler Lebaron Salon",17.6,6,225.0,85,3465,16.6,81,0
"Chrysler Lebaron Town & Country (Wagon)",18.5,8,360.0,150,3940,13.0,79,0
"Chrysler New Yorker Brougham",13.0,8,440.0,215,4735,11.0,73,0
"Chrysler Newport Royal",13.0,8,400.0,190,4422,12.5,72,0
"Citroen DS-21 Pallas",,4,133.0,115,3090,17.5,70,
"Datsun 1200",35.0,4,72.0,69,1613,18.0,71,1
"Datsun 200SX",23.900000000000002,4,119.0,97,2405,14.9,78,1
"Datsun 200SX",32.9,4,119.0,100,2615,14.8,81,1
"Datsun 210",31.8,4,85.0,65,2020,19.200000000000003,79,1
"Datsun 210",37.0,4,85.0,65,1975,19.400000000000002,81,1
"Datsun 210",40.800000000000004,4,85.0,65,2110,19.200000000000003,80,1
"Datsun 280ZX",32.7,6,168.0,132,2910,11.4,80,1
"Datsun 310 GX",38.0,4,91.0,67,1995,16.2,82,1
"Datsun 310",37.2,4,86.0,65,2019,16.400000000000002,80,1
"Datsun 510 (Wagon)",28.0,4,97.0,92,2288,17.0,72,1
"Datsun 510 Hatchback",37.0,4,119.0,92,2434,15.0,80,1
"Datsun 510",27.200000000000003,4,119.0,97,2300,14.700000000000001,78,1
"Datsun 610",22.0,4,108.0,94,2379,16.5,73,1
"Datsun 710",24.0,4,119.0,97,2545,17.0,75,1
"Datsun 710",32.0,4,83.0,61,2003,19.0,74,1
"Datsun 810 Maxima",24.200000000000003,6,146.0,120,2930,13.8,81,1
"Datsun 810",22.0,6,146.0,97,2815,14.5,77,1
"Datsun B-210",32.0,4,85.0,70,1990,17.0,76,1
"Datsun B210 GX",39.400000000000006,4,85.0,70,2070,18.6,78,1
"Datsun B210",31.0,4,79.0,67,1950,19.0,74,1
"Datsun F-10 Hatchback",33.5,4,85.0,70,1945,16.8,77,1
"Datsun PL510",27.0,4,97.0,88,2130,14.5,70,1
"Datsun PL510",27.0,4,97.0,88,2130,14.5,71,1
"Dodge Aries SE",29.0,4,135.0,84,2525,16.0,82,1
"Dodge Aries Wagon (Wagon)",25.8,4,156.0,92,2620,14.4,81,1
"Dodge Aspen 6",20.6,6,225.0,110,3360,16.6,79,1
"Dodge Aspen SE",20.0,6,225.0,100,3651,17.7,76,0
"Dodge Aspen",18.6,6,225.0,110,3620,18.7,78,0
"Dodge Aspen",19.1,6,225.0,90,3381,18.7,80,0
"Dodge Challenger SE",15.0,8,383.0,170,3563,10.0,70,0
"Dodge Charger 2.2",36.0,4,135.0,84,2370,13.0,82,1
"Dodge Colt (Wagon)",28.0,4,98.0,80,2164,15.0,72,1
"Dodge Colt Hardtop",25.0,4,97.5,80,2126,17.0,72,1
"Dodge Colt Hatchback Custom",35.7,4,98.0,80,1915,14.4,79,1
"Dodge Colt M/M",33.5,4,98.0,83,2075,15.9,77,1
"Dodge Colt",26.0,4,98.0,79,2255,17.7,76,1
"Dodge Colt",27.900000000000002,4,156.0,105,2800,14.4,80,1
"Dodge Colt",28.0,4,90.0,75,2125,14.5,74,1
"Dodge Coronet Brougham",16.0,8,318.0,150,4190,13.0,76,0
"Dodge Coronet Custom (Wagon)",14.0,8,318.0,150,4457,13.5,74,0
"Dodge Coronet Custom",15.0,8,318.0,150,3777,12.5,73,0
"Dodge D100",13.0,8,318.0,150,3755,14.0,76,0
"Dodge D200",11.0,8,318.0,210,4382,13.5,70,0
"Dodge Dart Custom",15.0,8,318.0,150,3399,11.0,73,0
"Dodge Diplomat",19.400000000000002,8,318.0,140,3735,13.200000000000001,78,0
"Dodge Magnum XE",17.5,8,318.0,140,4080,13.700000000000001,78,0
"Dodge Monaco (Wagon)",12.0,8,383.0,180,4955,11.5,71,0
"Dodge Monaco Brougham",15.5,8,318.0,145,4140,13.700000000000001,77,0
"Dodge Omni",30.900000000000002,4,105.0,75,2230,14.5,78,1
"Dodge Rampage",32.0,4,135.0,84,2295,11.600000000000001,82,1
"Dodge St. Regis",18.2,8,318.0,135,3830,15.200000000000001,79,0
"Fiat 124 Sport Coupe",26.0,4,98.0,90,2265,15.5,73,1
"Fiat 124 TC",26.0,4,116.0,75,2246,14.0,74,1
"Fiat 124B",30.0,4,88.0,76,2065,14.5,71,1
"Fiat 128",24.0,4,90.0,75,2108,15.5,74,1
"Fiat 128",29.0,4,68.0,49,1867,19.5,73,1
"Fiat 131",28.0,4,107.0,86,2464,15.5,76,1
"Fiat Strada Custom",37.300000000000004,4,91.0,69,2130,14.700000000000001,79,1
"Fiat X1.9",31.0,4,79.0,67,2000,16.0,74,1
"Ford Capri II",25.0,4,140.0,92,2572,14.9,76,1
"Ford Country Squire (Wagon)",13.0,8,400.0,170,4746,12.0,71,0
"Ford Country Squire (Wagon)",15.5,8,351.0,142,4054,14.3,79,0
"Ford Country",12.0,8,400.0,167,4906,12.5,73,0
"Ford Escort 2H",29.900000000000002,4,98.0,65,2380,20.700000000000003,81,1
"Ford Escort 4W",34.4,4,98.0,65,2045,16.2,81,1
"Ford F108",13.0,8,302.0,130,3870,15.0,76,0
"Ford F250",10.0,8,360.0,215,4615,14.0,70,0
"Ford Fairmont (Auto)",20.200000000000003,6,200.0,85,2965,15.8,78,1
"Ford Fairmont (Man)",25.1,4,140.0,88,2720,15.4,78,1
"Ford Fairmont 4",22.3,4,140.0,88,2890,17.3,79,1
"Ford Fairmont Futura",24.0,4,140.0,92,2865,16.400000000000002,82,1
"Ford Fairmont",26.400000000000002,4,140.0,88,2870,18.1,80,1
"Ford Fiesta",36.1,4,98.0,66,1800,14.4,78,1
"Ford Futura",18.1,8,302.0,139,3205,11.200000000000001,78,0
"Ford Galaxie 500",14.0,8,351.0,153,4129,13.0,72,0
"Ford Galaxie 500",14.0,8,351.0,153,4154,13.5,71,0
"Ford Galaxie 500",15.0,8,429.0,198,4341,10.0,70,0
"Ford Gran Torino (Wagon)",13.0,8,302.0,140,4294,16.0,72,0
"Ford Gran Torino (Wagon)",14.0,8,302.0,140,4638,16.0,74,0
"Ford Gran Torino",14.0,8,302.0,137,4042,14.5,73,0
"Ford Gran Torino",14.5,8,351.0,152,4215,12.8,76,0
"Ford Gran Torino",16.0,8,302.0,140,4141,14.0,74,0
"Ford Granada Ghia",18.0,6,250.0,78,3574,21.0,76,0
"Ford Granada GL",20.200000000000003,6,200.0,88,3060,17.1,81,1
"Ford Granada L",22.0,6,232.0,112,2835,14.700000000000001,82,1
"Ford Granada",18.5,6,250.0,98,3525,19.0,77,0
"Ford LTD Landau",17.6,8,302.0,129,3725,13.4,79,0
"Ford LTD",13.0,8,351.0,158,4363,13.0,73,0
"Ford LTD",14.0,8,351.0,148,4657,13.5,75,0
"Ford Maverick",15.0,6,250.0,72,3158,19.5,75,0
"Ford Maverick",18.0,6,250.0,88,3021,16.5,73,0
"Ford Maverick",21.0,6,200.0,,2875,17.0,74,1
"Ford Maverick",21.0,6,200.0,85,2587,16.0,70,1
"Ford Maverick",24.0,6,200.0,81,3012,17.6,76,1
"Ford Mustang Boss 302",,8,302.0,140,3353,8.0,70,
"Ford Mustang Cobra",23.6,4,140.0,,2905,14.3,80,1
"Ford Mustang GL",27.0,4,140.0,86,2790,15.600000000000001,82,1
"Ford Mustang II 2+2",25.5,4,140.0,89,2755,15.8,77,1
"Ford Mustang II",13.0,8,302.0,129,3169,12.0,75,0
"Ford Mustang",18.0,6,250.0,88,3139,14.5,71,0
"Ford Pinto (Wagon)",22.0,4,122.0,86,2395,16.0,72,1
"Ford Pinto Runabout",21.0,4,122.0,86,2226,16.5,72,1
"Ford Pinto",18.0,6,171.0,97,2984,14.5,75,0
"Ford Pinto",19.0,4,122.0,85,2310,18.5,73,0
"Ford Pinto",23.0,4,140.0,83,2639,17.0,75,1
"Ford Pinto",25.0,4,98.0,,2046,19.0,71,1
"Ford Pinto",26.0,4,122.0,80,2451,16.5,74,1
"Ford Pinto",26.5,4,140.0,72,2565,13.600000000000001,76,1
"Ford Ranger",28.0,4,120.0,79,2625,18.6,82,1
"Ford Thunderbird",16.0,8,351.0,149,4335,14.5,77,0
"Ford Torino (Wagon)",,8,351.0,153,4034,11.0,70,
"Ford Torino 500",19.0,6,250.0,88,3302,15.5,71,0
"Ford Torino",17.0,8,302.0,140,3449,10.5,70,0
"Hi 1200D",9.0,8,304.0,193,4732,18.5,70,0
"Honda Accord CVCC",31.5,4,98.0,68,2045,18.5,77,1
"Honda Accord LX",29.5,4,98.0,68,2135,16.6,78,1
"Honda Accord",32.4,4,107.0,72,2290,17.0,80,1
"Honda Accord",36.0,4,107.0,75,2205,14.5,82,1
"Honda Civic (Auto)",32.0,4,91.0,67,1965,15.700000000000001,82,1
"Honda Civic 1300",35.1,4,81.0,60,1760,16.1,81,1
"Honda Civic 1500 GL",44.6,4,91.0,67,1850,13.8,80,1
"Honda Civic CVCC",33.0,4,91.0,53,1795,17.5,75,1
"Honda Civic CVCC",36.1,4,91.0,60,1800,16.400000000000002,78,1
"Honda Civic",24.0,4,120.0,97,2489,15.0,74,1
"Honda Civic",33.0,4,91.0,53,1795,17.400000000000002,76,1
"Honda Civic",38.0,4,91.0,67,1965,15.0,82,1
"Honda Prelude",33.7,4,107.0,75,2210,14.4,81,1
"Maxda GLC Deluxe",34.1,4,86.0,65,1975,15.200000000000001,79,1
"Maxda RX-3",18.0,3,70.0,90,2124,13.5,73,0
"Mazda 626",31.3,4,120.0,75,2542,17.5,80,1
"Mazda 626",31.6,4,120.0,74,2635,18.3,81,1
"Mazda GLC 4",34.1,4,91.0,68,1985,16.0,81,1
"Mazda GLC Custom L",37.0,4,91.0,68,2025,18.2,82,1
"Mazda GLC Custom",31.0,4,91.0,68,1970,17.6,82,1
"Mazda GLC Deluxe",32.800000000000004,4,78.0,52,1985,19.400000000000002,78,1
"Mazda GLC",46.6,4,86.0,65,2110,17.900000000000002,80,1
"Mazda RX-2 Coupe",19.0,3,70.0,97,2330,13.5,72,0
"Mazda RX-4",21.5,3,80.0,110,2720,13.5,77,1
"Mazda RX-7 Gs",23.700000000000003,3,70.0,100,2420,12.5,80,1
"Mercedes-Benz 240D",30.0,4,146.0,67,3250,21.8,80,1
"Mercedes-Benz 280S",16.5,6,168.0,120,3820,16.7,76,0
"Mercedes-Benz 300D",25.400000000000002,5,183.0,77,3530,20.1,79,1
"Mercury Capri 2000",23.0,4,122.0,86,2220,14.0,71,1
"Mercury Capri V6",21.0,6,155.0,107,2472,14.0,73,1
"Mercury Cougar Brougham",15.0,8,302.0,130,4295,14.9,77,0
"Mercury Grand Marquis",16.5,8,351.0,138,3955,13.200000000000001,79,0
"Mercury Lynx L",36.0,4,98.0,70,2125,17.3,82,1
"Mercury Marquis Brougham",12.0,8,429.0,198,4952,11.5,73,0
"Mercury Marquis",11.0,8,429.0,208,4633,11.0,72,0
"Mercury Monarch Ghia",20.200000000000003,8,302.0,139,3570,12.8,78,1
"Mercury Monarch",15.0,6,250.0,72,3432,21.0,75,0
"Mercury Zephyr 6",19.8,6,200.0,85,2990,18.2,79,0
"Mercury Zephyr",20.8,6,200.0,85,3070,16.7,78,1
"Nissan Stanza XE",36.0,4,120.0,88,2160,14.5,82,1
"Oldsmobile Cutlass Ciera (Diesel)",38.0,6,262.0,85,3015,17.0,82,1
"Oldsmobile Cutlass LS",26.6,8,350.0,105,3725,19.0,81,1
"Oldsmobile Cutlass Salon Brougham",19.900000000000002,8,260.0,110,3365,15.5,78,0
"Oldsmobile Cutlass Salon Brougham",23.900000000000002,8,260.0,90,3420,22.200000000000003,79,1
"Oldsmobile Cutlass Supreme",17.0,8,260.0,110,4060,19.0,77,0
"Oldsmobile Delta 88 Royale",12.0,8,350.0,160,4456,13.5,72,0
"Oldsmobile Omega Brougham",26.8,6,173.0,115,2700,12.9,79,1
"Oldsmobile Omega",11.0,8,350.0,180,3664,11.0,73,0
"Oldsmobile Starfire SX",23.8,4,151.0,85,2855,17.6,78,1
"Oldsmobile Vista Cruiser",12.0,8,350.0,180,4499,12.5,73,0
"Opel 1900",25.0,4,116.0,81,2220,16.900000000000002,76,1
"Opel 1900",28.0,4,116.0,90,2123,14.0,71,1
"Opel Manta",24.0,4,116.0,75,2158,15.5,73,1
"Opel Manta",26.0,4,97.0,78,2300,14.5,74,1
"Peugeot 304",30.0,4,79.0,70,2074,19.5,71,1
"Peugeot 504 (Wagon)",21.0,4,120.0,87,2979,19.5,72,1
"Peugeot 504",19.0,4,120.0,88,3270,21.900000000000002,76,0
"Peugeot 504",23.0,4,120.0,88,2957,17.0,75,1
"Peugeot 504",25.0,4,110.0,87,2672,17.5,70,1
"Peugeot 504",27.200000000000003,4,141.0,71,3190,24.8,79,1
"Peugeot 505S Turbo Diesel",28.1,4,141.0,80,3230,20.400000000000002,81,1
"Peugeot 604SL",16.2,6,163.0,133,3410,15.8,78,0
"Plymouth Arrow GS",25.5,4,122.0,96,2300,15.5,77,1
"Plymouth Barracuda 340",14.0,8,340.0,160,3609,8.0,70,0
"Plymouth Champ",39.0,4,86.0,64,1875,16.400000000000002,81,1
"Plymouth Cricket",26.0,4,91.0,70,1955,20.5,71,1
"Plymouth Custom Suburb",13.0,8,360.0,170,4654,13.0,73,0
"Plymouth Duster",20.0,6,198.0,95,3102,16.5,74,0
"Plymouth Duster",22.0,6,198.0,95,2833,15.5,70,1
"Plymouth Duster",23.0,6,198.0,95,2904,16.0,73,1
"Plymouth Fury Gran Sedan",14.0,8,318.0,150,4237,14.5,73,0
"Plymouth Fury III",14.0,8,318.0,150,4096,13.0,71,0
"Plymouth Fury III",14.0,8,440.0,215,4312,8.5,70,0
"Plymouth Fury III",15.0,8,318.0,150,4135,13.5,72,0
"Plymouth Fury",18.0,6,225.0,95,3785,19.0,75,0
"Plymouth Grand Fury",16.0,8,318.0,150,4498,14.5,75,0
"Plymouth Horizon 4",34.7,4,105.0,63,2215,14.9,81,1
"Plymouth Horizon Miser",38.0,4,105.0,63,2125,14.700000000000001,82,1
"Plymouth Horizon TC3",34.5,4,105.0,70,2150,14.9,79,1
"Plymouth Horizon",34.2,4,105.0,70,2200,13.200000000000001,79,1
"Plymouth Reliant",27.200000000000003,4,135.0,84,2490,15.700000000000001,81,1
"Plymouth Reliant",30.0,4,135.0,84,2385,12.9,81,1
"Plymouth Sapporo",23.200000000000003,4,156.0,105,2745,16.7,78,1
"Plymouth Satellite (Wagon)",,8,383.0,175,4166,10.5,70,
"Plymouth Satellite Custom (Wagon)",14.0,8,318.0,150,4077,14.0,72,0
"Plymouth Satellite Custom",16.0,6,225.0,105,3439,15.5,71,0
"Plymouth Satellite Sebring",18.0,6,225.0,105,3613,16.5,74,0
"Plymouth Satellite",18.0,8,318.0,150,3436,11.0,70,0
"Plymouth Valiant Custom",19.0,6,225.0,95,3264,16.0,75,0
"Plymouth Valiant",18.0,6,225.0,105,3121,16.5,73,0
"Plymouth Valiant",22.0,6,225.0,100,3233,15.4,76,1
"Plymouth Volare Custom",19.0,6,225.0,100,3630,17.7,77,0
"Plymouth Volare Premier V8",13.0,8,318.0,150,3940,13.200000000000001,76,0
"Plymouth Volare",20.5,6,225.0,100,3430,17.2,78,1
"Pontiac Astro",23.0,4,140.0,78,2592,18.5,75,1
"Pontiac Catalina Brougham",14.0,8,400.0,175,4464,11.5,71,0
"Pontiac Catalina",14.0,8,400.0,175,4385,12.0,72,0
"Pontiac Catalina",14.0,8,455.0,225,4425,10.0,70,0
"Pontiac Catalina",16.0,8,400.0,170,4668,11.5,75,0
"Pontiac Firebird",19.0,6,250.0,100,3282,15.0,71,0
"Pontiac Grand Prix Lj",16.0,8,400.0,180,4220,11.100000000000001,77,0
"Pontiac Grand Prix",16.0,8,400.0,230,4278,9.5,73,0
"Pontiac J2000 Se Hatchback",31.0,4,112.0,85,2575,16.2,82,1
"Pontiac Lemans V6",21.5,6,231.0,115,3245,15.4,79,1
"Pontiac Phoenix LJ",19.200000000000003,6,231.0,105,3535,19.200000000000003,78,0
"Pontiac Phoenix",27.0,4,151.0,90,2735,18.0,82,1
"Pontiac Phoenix",33.5,4,151.0,90,2556,13.200000000000001,79,1
"Pontiac Safari (Wagon)",13.0,8,400.0,175,5140,12.0,71,0
"Pontiac Sunbird Coupe",24.5,4,151.0,88,2740,16.0,77,1
"Pontiac Ventura Sj",18.5,6,250.0,110,3645,16.2,76,0
"Renault 12 (Wagon)",26.0,4,96.0,69,2189,18.0,72,1
"Renault 12TL",27.0,4,101.0,83,2202,15.3,76,1
"Renault 18I",34.5,4,100.0,,2320,15.8,81,1
"Renault 5 Gtl",36.0,4,79.0,58,1825,18.6,77,1
"Renault Lecar Deluxe",40.900000000000006,4,85.0,,1835,17.3,80,1
"Saab 900S",,4,121.0,110,2800,15.4,81,
"Saab 99E",25.0,4,104.0,95,2375,17.5,70,1
"Saab 99GLE",21.6,4,121.0,115,2795,15.700000000000001,78,1
"Saab 99LE",24.0,4,121.0,110,2660,14.0,73,1
"Saab 99LE",25.0,4,121.0,115,2671,13.5,75,1
"Subaru DL",30.0,4,97.0,67,1985,16.400000000000002,77,1
"Subaru DL",33.800000000000004,4,97.0,67,2145,18.0,80,1
"Subaru",26.0,4,108.0,93,2391,15.5,74,1
"Subaru",32.300000000000004,4,97.0,67,2065,17.8,81,1
"Toyota Carina",20.0,4,97.0,88,2279,19.0,73,0
"Toyota Celica GT Liftback",21.1,4,134.0,95,2515,14.8,78,1
"Toyota Celica GT",32.0,4,144.0,96,2665,13.9,82,1
"Toyota Corolla 1200",31.0,4,71.0,65,1773,19.0,71,1
"Toyota Corolla 1200",32.0,4,71.0,65,1836,21.0,74,1
"Toyota Corolla 1600 (Wagon)",27.0,4,97.0,88,2100,16.5,72,1
"Toyota Corolla Liftback",26.0,4,97.0,75,2265,18.2,77,1
"Toyota Corolla Tercel",38.1,4,89.0,60,1968,18.8,80,1
"Toyota Corolla",28.0,4,97.0,75,2155,16.400000000000002,76,1
"Toyota Corolla",29.0,4,97.0,75,2171,16.0,75,1
"Toyota Corolla",32.2,4,108.0,75,2265,15.200000000000001,80,1
"Toyota Corolla",32.4,4,108.0,75,2350,16.8,81,1
"Toyota Corolla",34.0,4,108.0,70,2245,16.900000000000002,82,1
"Toyota Corona Hardtop",24.0,4,113.0,95,2278,15.5,72,1
"Toyota Corona Liftback",29.8,4,134.0,90,2711,15.5,80,1
"Toyota Corona Mark II",24.0,4,113.0,95,2372,15.0,70,1
"Toyota Corona",24.0,4,134.0,96,2702,13.5,75,1
"Toyota Corona",25.0,4,113.0,95,2228,14.0,71,1
"Toyota Corona",27.5,4,134.0,95,2560,14.200000000000001,78,1
"Toyota Corona",31.0,4,76.0,52,1649,16.5,74,1
"Toyota Cressida",25.400000000000002,6,168.0,116,2900,12.600000000000001,81,1
"Toyota Mark II",19.0,6,156.0,108,2930,15.5,76,0
"Toyota Mark II",20.0,6,156.0,122,2807,13.5,73,0
"Toyota Starlet",39.1,4,79.0,58,1755,16.900000000000002,81,1
"Toyota Tercel",37.7,4,89.0,62,2050,17.3,81,1
"Toyouta Corona Mark II (Wagon)",23.0,4,120.0,97,2506,14.5,72,1
"Triumph TR7 Coupe",35.0,4,122.0,88,2500,15.100000000000001,80,1
"Vokswagen Rabbit",29.8,4,89.0,62,1845,15.3,80,1
"Volkswagen 1131 Deluxe Sedan",26.0,4,97.0,46,1835,20.5,70,1
"Volkswagen 411 (Wagon)",22.0,4,121.0,76,2511,18.0,72,1
"Volkswagen Dasher (Diesel)",43.400000000000006,4,90.0,48,2335,23.700000000000003,80,1
"Volkswagen Dasher",25.0,4,90.0,71,2223,16.5,75,1
"Volkswagen Dasher",26.0,4,79.0,67,1963,15.5,74,1
"Volkswagen Dasher",30.5,4,97.0,78,2190,14.100000000000001,77,1
"Volkswagen Jetta",33.0,4,105.0,74,2190,14.200000000000001,81,1
"Volkswagen Model 111",27.0,4,97.0,60,1834,19.0,71,1
"Volkswagen Pickup",44.0,4,97.0,52,2130,24.6,82,1
"Volkswagen Rabbit C (Diesel)",44.300000000000004,4,90.0,48,2085,21.700000000000003,80,1
